maid,latitude,longitude,timestamp
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7904933,110.3677458,2021-12-06 15:05:57
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.79043,110.3678895,2021-12-06 15:05:57
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7904217,110.3679261,2021-12-06 15:05:57
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7904167,110.3679585,2021-12-06 15:05:57
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7904156,110.3680756,2021-12-06 15:05:57
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7902881,110.3679561,2021-12-06 15:05:57
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7902728,110.3679141,2021-12-06 15:05:57
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7901751,110.367673,2021-12-06 15:05:57
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.790156,110.3676205,2021-12-06 15:05:57
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7901413,110.3675455,2021-12-06 15:05:57
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7901279,110.3674365,2021-12-06 15:05:57
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7901226,110.3673297,2021-12-06 15:05:57
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7901268,110.3672678,2021-12-06 15:05:57
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7901352,110.3672117,2021-12-06 15:05:57
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7901502,110.3671521,2021-12-06 15:05:57
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7901484,110.3671114,2021-12-06 15:05:57
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7901357,110.3668228,2021-12-06 15:05:57
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7901058,110.3663611,2021-12-06 15:05:57
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7901031,110.3662263,2021-12-06 15:05:57
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.790116,110.3661899,2021-12-06 15:05:57
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7900832,110.3661769,2021-12-06 15:06:08
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.790116,110.3661899,2021-12-06 15:06:58
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7901459,110.3661708,2021-12-06 15:07:00
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.790553,110.3661236,2021-12-06 15:07:02
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7909066,110.36608,2021-12-06 15:07:04
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7911511,110.3660523,2021-12-06 15:07:06
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7912931,110.366036,2021-12-06 15:07:08
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7916401,110.3659972,2021-12-06 15:07:10
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.79177,110.3659813,2021-12-06 15:07:12
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7919982,110.3659557,2021-12-06 15:07:14
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7920453,110.3659504,2021-12-06 15:07:16
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7923433,110.3659211,2021-12-06 15:07:18
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7924548,110.3659102,2021-12-06 15:07:20
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7926478,110.3658829,2021-12-06 15:07:22
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7937511,110.3657399,2021-12-06 15:07:24
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7940238,110.365707,2021-12-06 15:07:26
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7943007,110.3656686,2021-12-06 15:07:32
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7952198,110.3655429,2021-12-06 15:07:41
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7958792,110.3654683,2021-12-06 15:07:53
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7963687,110.3654129,2021-12-06 15:08:05
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7974361,110.3652882,2021-12-06 15:08:17
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7983549,110.3651635,2021-12-06 15:08:29
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7988396,110.3650977,2021-12-06 15:08:32
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7990764,110.3650656,2021-12-06 15:08:41
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7994798,110.3650197,2021-12-06 15:09:32
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7994866,110.3649204,2021-12-06 15:09:32
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7995003,110.3646454,2021-12-06 15:09:41
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.799463,110.3645673,2021-12-06 15:09:44
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7994252,110.3645148,2021-12-06 15:09:47
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7993979,110.3644721,2021-12-06 15:09:50
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7993342,110.3643568,2021-12-06 15:09:53
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992964,110.3642372,2021-12-06 15:09:56
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992772,110.3640669,2021-12-06 15:09:59
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992061,110.3634145,2021-12-06 15:10:02
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7991911,110.3632777,2021-12-06 15:10:05
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992063,110.3629403,2021-12-06 15:10:08
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992079,110.3628474,2021-12-06 15:10:11
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992148,110.362803,2021-12-06 15:10:14
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992252,110.3626871,2021-12-06 15:10:17
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992225,110.3625503,2021-12-06 15:10:20
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992148,110.3624716,2021-12-06 15:10:23
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7991814,110.3621292,2021-12-06 15:10:31
